ax,ay,az,mx,my,mz,touched
-108.0,962.8,133.4,164.8,-520.4,-277.2,1
-62.666666666666664,1012.0,226.0,224.33333333333334,-473.0,-231.0,1
257.0,497.0,357.0,-214.0,-511.0,-374.0,1
-82.5,889.3333333333334,251.83333333333334,111.5,-448.8333333333333,-321.3333333333333,1
-183.7,986.7,169.8,179.5,-506.8,-209.6,1
113.0,798.5,375.0,130.0,-460.5,-192.5,1
-218.6,1044.0,161.8,188.4,-508.0,-237.3,1
-179.0,983.8333333333334,178.66666666666666,206.33333333333334,-480.0,-227.83333333333334,1
-240.0,962.5,99.0,298.25,-446.75,-162.0,1
129.0,430.0,351.0,-209.0,-525.0,-362.0,1
-503.5,1159.5,46.5,499.5,-403.0,-110.0,1
185.0,433.0,430.0,-178.0,-557.0,-340.0,1
-585.3333333333334,1164.3333333333333,-1.3333333333333333,489.6666666666667,-396.6666666666667,-125.66666666666667,1
13.0,429.0,374.0,-215.0,-527.0,-355.0,1
-352.0,1047.0,195.0,284.0,-495.3333333333333,-289.0,1
-352.0,1047.0,195.0,284.0,-495.3333333333333,-289.0,1
-549.0,1169.5,173.0,519.5,-371.0,-141.5,1
62.0,415.0,383.0,-200.0,-517.0,-374.0,1
-278.0,934.6666666666666,280.3333333333333,248.66666666666666,-457.0,-263.0,1
-210.0,904.0,174.33333333333334,261.6666666666667,-422.6666666666667,-188.0,1
82.0,834.0,266.0,-186.0,-554.0,-334.0,1
-577.6666666666666,1116.0,-91.0,530.3333333333334,-367.3333333333333,-60.333333333333336,1
82.0,522.0,335.0,-107.0,-585.0,-324.0,1
-209.4,1015.0,172.8,231.8,-519.2,-229.8,1
-552.0,1031.5,15.5,525.5,-369.5,-99.5,1
4.0,899.0,331.0,99.0,-582.0,-348.0,1
-136.8,842.6,229.6,168.6,-500.0,-279.4,1
-136.8,842.6,229.6,168.6,-500.0,-279.4,1
-543.0,1154.0,22.5,429.0,-451.5,-142.0,1
198.0,644.0,197.0,-261.0,-593.0,-160.0,1
-276.3333333333333,963.3333333333334,358.3333333333333,249.0,-441.6666666666667,-319.6666666666667,1
-85.0,740.3333333333334,308.6666666666667,151.66666666666666,-345.3333333333333,-315.3333333333333,1
334.0,160.0,381.0,-283.0,-184.0,-530.0,1
-449.0,1140.0,184.5,440.5,-419.0,-204.5,1
306.0,308.0,399.0,-273.0,-259.0,-511.0,1
-135.5,855.8333333333334,300.0,151.33333333333334,-349.1666666666667,-338.1666666666667,1
-181.0,817.75,154.25,265.75,-326.75,-236.0,1
-181.0,817.75,154.25,265.75,-326.75,-236.0,1
446.0,218.0,479.0,-310.0,-296.0,-470.0,1
-439.75,1142.0,57.25,411.0,-444.5,-184.75,1
410.0,206.0,546.0,-313.0,-348.0,-442.0,1
-369.0,1074.8,-230.4,308.4,-501.8,-29.2,1
-83.72727272727273,918.0,208.72727272727272,123.18181818181819,-511.1818181818182,-210.0909090909091,1
-584.0,1178.0,-30.0,494.5,-408.5,-102.0,1
-61.0,665.0,116.0,-278.0,-590.0,-126.0,1
-217.23076923076923,891.2307692307693,191.0,157.92307692307693,-476.53846153846155,-200.30769230769232,1
-589.0,961.0,-29.0,545.0,-339.0,-57.0,1
-265.5,1162.0,238.0,214.5,-535.0,-349.5,1
-265.5,1162.0,238.0,214.5,-535.0,-349.5,1
-268.2,911.6,76.2,286.0,-423.6,-202.2,1
-268.2,911.6,76.2,286.0,-423.6,-202.2,1
-193.33333333333334,843.0,119.0,252.33333333333334,-411.6666666666667,-179.66666666666666,1
162.0,730.0,29.0,-186.0,-634.0,-80.0,1
-218.66666666666666,956.3333333333334,16.0,143.66666666666666,-512.1666666666666,-75.5,1
-183.0,911.0,42.666666666666664,248.0,-411.6666666666667,-56.666666666666664,1
26.0,695.0,62.0,-249.0,-611.0,-63.0,1
-197.8,980.4,27.6,215.2,-508.0,-77.0,1
-149.42857142857142,912.5714285714286,134.14285714285714,95.42857142857143,-455.85714285714283,-109.28571428571429,1
-69.8,800.6,62.8,49.8,-539.8,-98.6,1
-500.5,1153.0,157.0,468.0,-407.5,-166.5,1
334.0,230.0,497.0,-263.0,-389.0,-448.0,1
-587.5,1161.0,21.0,494.0,-392.5,-114.5,1
118.0,578.0,392.0,-182.0,-520.0,-375.0,1
118.0,578.0,392.0,-182.0,-520.0,-375.0,1
-132.6,896.8,92.6,87.6,-545.2,-141.2,1
-438.75,1111.25,-17.25,380.75,-468.0,-86.25,1
-206.75,974.25,133.25,181.75,-493.0,-171.0,1
-206.75,974.25,133.25,181.75,-493.0,-171.0,1
-169.75,867.75,177.0,173.25,-484.5,-192.75,1
-145.66666666666666,974.3333333333334,103.33333333333333,244.66666666666666,-439.3333333333333,-98.33333333333333,1
104.0,426.0,370.0,-190.0,-565.0,-307.0,1
-168.0,891.3333333333334,175.66666666666666,258.6666666666667,-427.6666666666667,-162.66666666666666,1
85.0,466.0,403.0,-142.0,-513.0,-404.0,1
-265.75,980.0,162.75,269.0,-433.25,-201.25,1
123.0,388.0,263.0,-297.0,-458.0,-372.0,1
-182.66666666666666,848.3333333333334,187.66666666666666,235.0,-408.3333333333333,-190.33333333333334,1
55.0,722.0,405.0,-132.0,-458.0,-455.0,1
-481.0,1080.0,90.5,460.0,-398.5,-171.0,1
177.0,348.0,472.0,-216.0,-481.0,-403.0,1
-301.5,877.5,141.75,333.0,-379.75,-176.0,1
65.0,537.0,379.0,-236.0,-505.0,-359.0,1
59.5,752.0,236.5,133.0,-418.5,-208.5,1
-278.3333333333333,1118.6666666666667,-77.33333333333333,185.33333333333334,-553.6666666666666,-106.0,1
-209.57142857142858,946.8571428571429,36.857142857142854,136.57142857142858,-504.14285714285717,-78.71428571428571,1
-590.5,1187.5,-70.5,476.5,-422.0,-105.0,1
-13.0,692.0,223.0,-241.0,-593.0,-193.0,1
-434.0,1099.6666666666667,114.66666666666667,382.3333333333333,-439.6666666666667,-243.33333333333334,1
-248.33333333333334,997.0,191.33333333333334,235.33333333333334,-431.3333333333333,-216.0,1
55.0,463.0,353.0,-219.0,-474.0,-402.0,1
-360.0,994.2,171.0,215.8,-437.8,-267.6,1
-177.8,822.0,220.6,166.2,-468.2,-274.2,1
-194.0,854.6666666666666,124.0,258.6666666666667,-394.0,-170.66666666666666,1
-235.25,918.5,152.75,152.25,-430.25,-240.0,1
83.0,670.0,74.0,-204.0,-612.0,-167.0,1
-294.25,973.0,131.75,283.0,-411.25,-138.5,1
155.0,358.0,344.0,-254.0,-252.0,-521.0,1
-207.83333333333334,929.1666666666666,197.5,205.16666666666666,-378.5,-281.3333333333333,1
492.0,-56.0,428.0,-359.0,-68.0,-498.0,1
-295.75,1042.0,163.75,220.75,-449.25,-315.5,1
-159.66666666666666,802.6666666666666,252.83333333333334,150.16666666666666,-333.1666666666667,-358.6666666666667,1
-199.83333333333334,939.3333333333334,169.0,141.83333333333334,-403.6666666666667,-292.6666666666667,1
-450.25,1130.25,-54.75,378.25,-436.5,-149.75,1
481.0,205.0,458.0,-310.0,-335.0,-448.0,1
-459.5,1092.25,-13.5,394.5,-448.0,-174.0,1
336.0,210.0,568.0,-263.0,-315.0,-486.0,1
-510.0,1468.0,127.0,548.0,-332.0,-73.0,1
-510.0,1468.0,127.0,548.0,-332.0,-73.0,1
-410.6,1041.6,54.0,309.9,-419.7,-204.3,1
453.0,-23.0,425.0,-310.0,-143.0,-524.0,1
-235.0,1178.5,107.5,372.5,-491.0,-240.5,0
-37.0,725.0,264.0,38.0,-564.0,-384.0,0
-256.5,1289.0,28.0,489.0,-433.5,-108.5,0
-239.0,732.0,320.0,143.0,-494.0,-452.0,0
-313.3333333333333,1273.0,-113.66666666666667,433.3333333333333,-445.3333333333333,-184.33333333333334,0
-212.0,348.0,638.0,168.0,-267.0,-568.0,0
-404.0,1071.0,122.0,494.0,-421.0,-130.0,0
-279.25,951.0,220.75,282.0,-245.75,-402.25,0
-203.83333333333334,700.6666666666666,356.5,244.16666666666666,-190.83333333333334,-410.1666666666667,0
-108.5,770.75,162.75,270.5,-358.75,-306.25,0
-108.5,770.75,162.75,270.5,-358.75,-306.25,0
-247.75,1058.5,351.5,333.5,-407.25,-320.5,0
-103.75,803.5,124.75,40.5,-327.0,-286.0,0
273.0,692.0,315.0,-211.0,-326.0,-508.0,0
-10.0,569.0,190.0,95.5,-318.0,-316.0,0
143.75,728.5,313.25,-154.0,-242.0,-517.75,0
105.0,476.5,245.0,127.5,-278.5,-314.5,0
-88.0,1188.0,306.0,80.0,-466.0,-470.0,0
422.0,43.0,433.0,-328.0,-72.0,-513.0,0
128.5,568.5,219.0,104.5,-321.5,-313.5,0
-46.5,1297.5,-171.0,270.5,-619.5,-37.0,0
-492.0,976.0,-16.0,507.0,-398.0,-119.0,0
11.0,727.0,344.6666666666667,-80.66666666666667,-275.0,-502.0,0
74.66666666666667,732.3333333333334,49.0,178.0,-311.3333333333333,-233.0,0
-353.0,1169.3333333333333,-125.33333333333333,399.0,-508.3333333333333,-79.33333333333333,0
-41.0,617.0,88.0,175.0,-623.0,-241.0,0
-41.0,617.0,88.0,175.0,-623.0,-241.0,0
-41.0,617.0,88.0,175.0,-623.0,-241.0,0
81.0,1137.5,-84.0,287.5,-582.5,-197.0,0
-257.5,1027.0,128.0,314.5,-549.5,-277.0,0
431.0,777.0,318.0,174.0,-583.0,-328.0,0
-234.2,963.4,214.0,381.0,-433.0,-258.8,0
-108.0,561.0,494.0,297.0,-413.0,-436.0,0
-108.0,561.0,494.0,297.0,-413.0,-436.0,0
-157.0,1278.5,-274.5,449.5,-475.5,-130.0,0
-429.0,574.0,274.0,334.0,-431.0,-420.0,0
-341.0,1176.0,-52.0,465.0,-460.0,-138.0,0
166.0,1058.0,44.0,225.0,-542.0,-354.0,0
-316.0,965.6666666666666,245.33333333333334,421.0,-399.0,-287.6666666666667,0
-56.0,824.0,60.0,324.0,-517.0,-323.0,0
-56.0,824.0,60.0,324.0,-517.0,-323.0,0
-116.5,1249.0,166.75,386.0,-500.25,-219.5,0
-198.5,1076.5,-4.75,358.25,-526.0,-192.0,0
-397.0,767.0,391.0,361.0,-459.0,-363.0,0
-217.71428571428572,1058.0,32.57142857142857,380.2857142857143,-478.57142857142856,-243.57142857142858,0
-330.0,618.0,305.0,328.0,-425.0,-417.0,0
-26.583333333333332,1080.3333333333333,166.5,243.08333333333334,-468.5,-349.0,0
-299.5,1351.5,163.0,434.5,-468.0,-198.5,0
120.0,813.5,297.0,21.0,-520.0,-422.0,0
-353.0,1248.0,66.0,453.0,-463.0,-163.0,0
364.0,799.0,306.0,44.0,-520.0,-422.0,0
-122.2,1096.8,192.2,174.0,-523.2,-311.8,0
257.3333333333333,768.0,229.66666666666666,51.666666666666664,-577.6666666666666,-138.33333333333334,0
130.5,1013.5,-1.5,149.5,-501.5,-418.0,0
-335.5,821.5,543.0,370.5,-368.5,-333.5,0
-335.5,821.5,543.0,370.5,-368.5,-333.5,0
279.0,445.0,257.0,-331.0,-533.0,-181.0,0
293.0,845.0,94.0,39.0,-500.5,-101.5,0
477.0,893.0,210.0,55.0,-498.0,-441.0,0
-266.0,885.5,451.0,321.5,-396.0,-354.5,0
272.0,1322.0,34.0,213.0,-612.0,-214.0,0
-113.0,848.0,168.0,192.0,-559.0,-354.0,0
-34.666666666666664,1093.3333333333333,153.66666666666666,272.6666666666667,-482.3333333333333,-259.3333333333333,0
-236.5,1069.75,-8.25,289.25,-431.75,-241.75,0
-236.5,1069.75,-8.25,289.25,-431.75,-241.75,0
-62.75,1217.5,21.5,316.0,-496.75,-247.0,0
-290.0,829.5,434.5,378.5,-370.5,-345.5,0
-290.0,829.5,434.5,378.5,-370.5,-345.5,0
103.0,662.0,205.0,201.0,-452.0,-462.0,0
-376.0,666.0,524.0,384.5,-347.5,-326.0,0
98.0,1186.5,62.0,228.5,-520.0,-358.5,0
-242.0,896.0,436.5,362.5,-360.5,-351.0,0
15.4,1041.0,157.6,142.4,-530.0,-274.2,0
222.0,1160.0,528.0,18.0,-448.0,-482.0,0
100.0,666.0,312.0,55.5,-341.5,-327.5,0
61.5,760.5,327.0,-55.0,-305.5,-556.0,0
45.0,690.0,440.5,128.0,-334.5,-419.0,0
19.0,651.0,176.0,-302.0,-327.0,-451.0,0
163.5,699.5,202.0,63.5,-402.0,-288.5,0
144.0,1338.0,560.0,165.0,-485.0,-435.0,0
49.6,936.8,301.6,29.4,-432.4,-375.6,0
-289.0,1057.0,72.0,436.0,-476.0,-157.0,0
349.0,898.5,362.5,-12.0,-484.0,-439.5,0
-61.4,1235.4,182.6,221.4,-518.8,-303.0,0
4.0,852.5,335.5,212.5,-472.5,-330.5,0
267.0,1157.0,429.0,152.0,-534.0,-381.0,0
377.0,514.0,-117.0,-159.0,-582.0,-286.0,0
49.8,1074.8,275.4,139.0,-406.8,-384.2,0
-119.0,1316.5,312.5,383.0,-495.5,-226.5,0
211.0,446.0,346.0,-287.0,-211.0,-514.0,0
211.0,446.0,346.0,-287.0,-211.0,-514.0,0
-209.0,1034.0,273.0,427.0,-466.0,-220.0,0
77.33333333333333,1113.0,393.6666666666667,140.0,-578.6666666666666,-304.6666666666667,0
-6.666666666666667,1192.6666666666667,301.0,318.0,-513.3333333333334,-279.6666666666667,0
122.0,410.0,483.0,-106.0,-247.0,-568.0,0
-203.0,1094.0,88.0,411.0,-494.0,-183.0,0
127.5,1023.5,307.0,6.0,-447.0,-485.5,0
44.75,958.25,412.25,181.25,-486.25,-348.75,0
44.75,958.25,412.25,181.25,-486.25,-348.75,0
32.0,1137.5,394.5,226.0,-445.0,-352.5,0
375.0,86.0,460.0,-265.0,-109.0,-548.0,0
-247.0,1125.0,170.0,416.0,-484.0,-196.0,0
-247.0,1125.0,170.0,416.0,-484.0,-196.0,0
-36.0,561.0,430.0,-94.0,-303.0,-565.0,0
25.0,982.6666666666666,368.3333333333333,203.66666666666666,-458.6666666666667,-318.6666666666667,0
-56.0,808.0,141.0,12.0,-588.0,-340.0,0
37.0,989.5,386.0,104.5,-338.25,-425.0,0
162.5,478.0,388.0,82.5,-276.0,-396.5,0
179.4,1019.4,198.0,17.6,-579.6,-207.6,0
382.0,818.0,1.0,105.0,-644.0,-216.0,0
-259.0,1015.0,302.0,289.0,-583.0,-256.0,0
254.75,578.5,479.25,-145.25,-320.0,-443.75,0
-119.0,1200.5,364.5,293.5,-598.0,-214.5,0
296.0,367.0,430.0,-271.0,-219.0,-519.0,0
-47.25,1179.0,-31.25,124.25,-490.75,-302.0,0
-47.25,1179.0,-31.25,124.25,-490.75,-302.0,0
-118.25,1156.75,40.5,324.25,-539.0,-207.25,0
419.4,379.6,404.6,-65.2,-478.0,-318.2,0
259.2,450.2,387.6,5.2,-463.8,-340.6,0
384.0,304.8,378.0,-39.4,-458.0,-356.2,0
390.2,349.8,393.0,-90.4,-449.0,-371.0,0
610.6666666666666,215.0,448.6666666666667,-148.66666666666666,-453.3333333333333,-397.6666666666667,0
610.6666666666666,215.0,448.6666666666667,-148.66666666666666,-453.3333333333333,-397.6666666666667,0
523.25,357.5,442.75,-150.25,-466.75,-370.25,0
514.2,157.0,174.8,-237.0,-334.8,-379.8,0
469.4,0.4,-95.0,-240.4,-375.0,-293.6,0
916.5,269.75,558.75,-248.75,-440.25,-410.75,0
430.25,443.5,394.75,-53.75,-463.75,-366.0,0
378.6666666666667,520.6666666666666,385.0,-91.33333333333333,-503.3333333333333,-367.3333333333333,0
699.0,132.0,339.0,-391.0,-348.0,-373.0,0
278.0,430.6666666666667,343.0,49.333333333333336,-472.6666666666667,-402.0,0
405.0,374.4,427.6,3.4,-461.8,-353.4,0
526.5,219.5,375.25,-97.0,-478.25,-360.25,0
292.85714285714283,477.42857142857144,508.0,13.071428571428571,-444.07142857142856,-379.2857142857143,0
462.25,387.5,418.75,-86.25,-475.25,-352.75,0
484.3333333333333,335.6666666666667,422.6666666666667,-130.0,-484.6666666666667,-366.6666666666667,0
484.3333333333333,335.6666666666667,422.6666666666667,-130.0,-484.6666666666667,-366.6666666666667,0
596.6666666666666,181.0,408.3333333333333,-178.0,-481.3333333333333,-361.6666666666667,0
596.6666666666666,181.0,408.3333333333333,-178.0,-481.3333333333333,-361.6666666666667,0
359.0,423.0,526.3333333333334,1.0,-443.3333333333333,-403.3333333333333,0
856.5,179.75,546.5,-308.75,-379.5,-414.25,0
857.0,178.0,520.0,-283.0,-282.0,-491.0,0
400.75,547.75,269.25,24.25,-535.25,-266.25,0
473.1111111111111,327.6666666666667,378.6666666666667,-128.55555555555554,-495.6666666666667,-325.3333333333333,0
576.3333333333334,217.66666666666666,375.3333333333333,-225.66666666666666,-487.3333333333333,-336.0,0
508.25,304.0,377.0,-69.5,-499.75,-337.25,0
544.0,233.0,412.0,-167.66666666666666,-505.0,-327.6666666666667,0
416.25,439.25,366.75,35.75,-466.25,-323.75,0
631.0,395.3333333333333,499.6666666666667,-45.666666666666664,-477.0,-375.6666666666667,0
503.6666666666667,258.0,558.3333333333334,-19.0,-475.0,-373.0,0
509.3,343.0,387.8,-106.9,-510.6,-260.6,0
513.3333333333334,78.66666666666667,522.0,-298.0,-464.6666666666667,-346.0,0
705.5,10.0,468.0,-341.5,-359.5,-409.5,0
84.0,916.0,664.0,262.0,-508.0,-360.0,0
823.0,-118.0,657.4545454545455,-342.8181818181818,-267.8181818181818,-457.45454545454544,0
780.3333333333334,-154.0,675.3333333333334,-364.0,-256.0,-448.3333333333333,0
780.3333333333334,-154.0,675.3333333333334,-364.0,-256.0,-448.3333333333333,0
467.42857142857144,198.85714285714286,450.42857142857144,-171.42857142857142,-459.14285714285717,-364.7142857142857,0
467.42857142857144,198.85714285714286,450.42857142857144,-171.42857142857142,-459.14285714285717,-364.7142857142857,0
530.75,282.75,447.0,-188.25,-435.75,-380.0,0
492.0,581.6666666666666,253.33333333333334,-65.66666666666667,-546.3333333333334,-265.3333333333333,0
454.2,471.6,477.0,-39.2,-448.4,-385.8,0
